鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
湖內區,房地(土地+建物),高雄市湖內區中山路一段301~330號,493.15,住,,,1080604,土地3建物1車位0,一層,一層,其他,住家用,鋼造,0710508,195.0,0,0,0,無,無,22800000,116923,,0.0,0,含增建或未登記建物。;包含公共設施保留地之交易。;地上物為鐵皮屋,RPTNMLPKPHOFFJE96CA
田寮區,土地,崇西段1351~1380地號,261.02,,山坡地保育區,農牧用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1579000,6049,,0.0,0,二人共同承買，訴訟買賣案件。,RPSNMLTKPHOFFJE27CA
阿蓮區,土地,中路段2371~2400地號,9696.0,,特定農業區,農牧用地,1080614,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37000000,3816,,0.0,0,,RPTNMLTKPHOFFJE37CA
路竹區,土地,大同段481~510地號,290.98,工,,,1080614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5105000,17544,,0.0,0,,RPRNMLKKPHOFFJE88CA
阿蓮區,土地,和蓮段241~270地號,105.52,住,,,1080625,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4608059,43670,,0.0,0,,RPSNMLKKPHOFFJE98CA
路竹區,土地,智仁段1~30地號,92.32,住,,,1080618,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5780000,62608,,0.0,0,含增建或未登記建物。;,RPWNMLKKPHOFFJE76CA
湖內區,房地(土地+建物),高雄市湖內區中正路二段61~90號,127.75,住,,,1080628,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080429,213.64,5,2,3,有,無,8300000,38850,,0.0,0,,RPUNMLTJPHOFFJE37CA
美濃區,房地(土地+建物),高雄市美濃區自強街一段481~510號,132.0,住,,,1080518,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080412,211.26,5,2,5,有,無,8880000,42034,,0.0,0,,RPTNMLTLPHOFFKE57CA
大寮區,土地,溪寮段541~570地號,149.43,住,,,1080612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,11243,,0.0,0,含增建或未登記建物。;受債權債務影響或債務抵償之交易。;,RPQPMLKKPHOFFLE56CA
大寮區,房地(土地+建物),高雄市大寮區保生街69巷32弄1~30號,99.48,住,,,1080523,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070723,200.14,4,2,4,有,無,13500000,67453,,0.0,0,,RPOPMLKKPHOFFLE98CA
