鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
淡水區,房地(土地+建物),新北市淡水區民權路187巷1~30號,21.74,工,,,1080602,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0920910,137.23000000000002,0,0,2,有,有,10400000,75785,,0.0,0,,RPVOMLPLPHOFFEF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段61~90號,20.81,住,,,1030422,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,136.28,3,1,2,有,有,9750000,79582,坡道平面,30.1,1300000,,RPOPMLPLPHOFFEF98CA
淡水區,房地(土地+建物),新北市淡水區沙崙路一段61~90號,18.13,住,,,1030204,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,95.35,2,1,2,有,有,7040000,73833,,0.0,0,,RPQPMLPLPHOFFEF56CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,24.07,住,,,1030507,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,147.60000000000002,3,1,2,有,有,10680000,78867,坡道平面,26.13,1100000,,RPSPMLPLPHOFFEF76CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段1~30號,17.12,住,,,1040208,土地1建物1車位1,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,113.39,2,1,1,有,有,7720000,75865,坡道平面,26.13,1100000,,RPTPMLPLPHOFFEF86CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,17.96,住,,,1031028,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,122.0,2,1,1,有,有,8550000,78890,坡道平面,30.1,1300000,,RPUPMLPLPHOFFEF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,24.73,住,,,1030429,土地1建物1車位1,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,150.72,3,1,2,有,有,12900000,93908,坡道平面,26.13,1200000,,RPWOMLQLPHOFFEF17CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段61~90號,18.42,住,,,1030324,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,125.44999999999999,2,1,2,有,有,8430000,75826,坡道平面,30.1,1200000,,RPPPMLQLPHOFFEF56CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段91~120號,27.9,住,,,1021001,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,172.45,3,2,2,有,有,13970000,89006,坡道平面,30.1,1300000,,RPRPMLQLPHOFFEF76CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段31~60號,13.43,住,,,1050724,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,97.33000000000001,2,1,1,有,有,6180000,74074,坡道平面,30.1,1200000,,RPXPMLPLPHOFFEF27CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,27.99,住,,,1021207,土地1建物1車位1,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,173.53,3,2,2,有,有,13620000,85896,坡道平面,30.1,1300000,,RPQQMLPLPHOFFEF66CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段91~120號,18.13,住,,,1020928,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,119.78999999999999,2,1,2,有,有,7740000,70895,坡道平面,26.13,1100000,,RPSQMLPLPHOFFEF86CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段1~30號,27.99,住,,,1031021,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,172.87,3,2,2,有,有,15800000,101562,坡道平面,30.1,1300000,,RPUQMLPLPHOFFEF07CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,24.76,住,,,1030124,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,154.69,3,1,2,有,有,10850000,77454,坡道平面,30.1,1200000,,RPOQMLQLPHOFFEF56CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段91~120號,18.53,住,,,1040212,土地1建物1車位1,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,125.59,2,1,2,有,有,9600000,87967,坡道平面,30.1,1200000,,RPRQMLQLPHOFFEF86CA
