鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中山區,房地(土地+建物),臺北市中山區林森北路85巷31~60號,6.5,商,,,1080520,土地1建物2車位0,地下層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0621203,65.55,0,0,0,無,有,7861360,119929,,0.0,0,受債權債務影響或債務抵償之交易。;債權讓與。,RPVOMLPKPHOFFCA78CA
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段1~30號,20.67,商,,,1080627,土地4建物1車位2,六層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1071213,281.34000000000003,3,2,2,有,無,49880000,208874,坡道平面,64.08,4500000,,RPWRMLSKPHOFFCA86CA
中山區,房地(土地+建物)+車位,臺北市中山區敬業一路91~120號,47.17,商,,,1080523,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970131,206.47,4,2,2,有,有,49280000,238679,坡道平面,35.19,0,,RPPNNLPKPHOFFCA18CA
中山區,房地(土地+建物),臺北市中山區南京東路二段1~30號,18.81,商,,,1080619,土地3建物1車位0,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061208,198.53,4,2,2,有,有,68880000,346950,,0.0,0,,RPUSMLRKPHOFFCA66CA
內湖區,房地(土地+建物),臺北市內湖區星雲街138巷1~30號,12.01,住,,,1080605,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880602,47.74,3,2,2,有,有,3500000,73314,,0.0,0,親友、員工或其他特殊關係間之交易。;車位抽籤,RPSUMLMLPHOFFCA88CA
內湖區,車位,臺北市內湖區民權東路六段280巷1~30號,0.32,住,,,1080610,土地0建物0車位1,地下一層，地下二層，地下三層，地下四層,十六層,其他,見使用執照,鋼筋混凝土造,0830915,45.32,0,0,0,有,有,1800000,,坡道平面,0.0,1800000,單獨車位交易。;,RPPRMLPLPHOFFCA58CA
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段56巷1~30號,27.32,住,,,1080603,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960523,166.45,3,2,2,有,有,29010000,174287,坡道平面,0.0,2500000,含增建或未登記建物。;,RPTRMLQLPHOFFCA09CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路255巷1~30號,32.37,住,,,1080524,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991201,161.26,2,2,2,有,有,26950000,167121,坡道平面,47.29,0,,RPUPMLPJPHOFFDA78CA
松山區,房地(土地+建物),臺北市松山區南京東路五段291巷6弄1~30號,19.21,商,,,1080530,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740827,77.11000000000001,3,2,1,有,無,14500000,188043,,0.0,0,含增建或未登記建物。;,RPWNMLPJPHOFFDA78CA
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段743巷31弄1~30號,22.67,住,,,1080512,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070824,179.55,2,2,2,有,有,42600000,237260,坡道平面,33.86,0,,RPOOMLPJPHOFFDA08CA
信義區,房地(土地+建物),臺北市信義區永吉路120巷31~60號,25.7,其他,,,1080613,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700106,101.47,3,2,2,有,無,16500000,162610,,0.0,0,含增建或未登記建物。;,RPPOMLPJPHOFFDA18CA
南港區,房地(土地+建物)+車位,臺北市南港區重陽路125巷36弄1~30號,20.38,住,,,1080523,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961008,109.59,1,2,1,有,有,15250000,139155,坡道平面,24.51,0,,RPRNMLOJPHOFFDA18CA
松山區,房地(土地+建物),臺北市松山區民生東路五段181~210號,2.58,其他,,,1080609,土地1建物1車位0,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780629,37.71,1,1,1,有,有,7100000,188279,,0.0,0,,RPUNMLOJPHOFFDA48CA
松山區,房地(土地+建物),臺北市松山區新東街26巷31~60號,34.25,住,,,1080603,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620301,91.88,3,2,1,有,無,15000000,163256,,0.0,0,,RPXNMLOJPHOFFDA78CA
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段481~510號,16.97,住,,,1080425,土地1建物2車位1,十五層,二十七層,辦公商業大樓,商業用,鋼骨混凝土造,0820813,238.3,0,0,0,無,有,52500000,220311,坡道平面,0.0,0,,RPQPMLOJPHOFFDA28CA
中山區,房地(土地+建物)+車位,臺北市中山區植福路286巷1~30號,47.95,其他,,,1080517,土地1建物1車位2,七層,四十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031229,433.90999999999997,0,0,0,無,有,158000000,424451,坡道平面,75.8,6000000,,RPWQMLMJQHOFFCA78CA
南港區,房地(土地+建物),臺北市南港區合順街8巷5弄31~60號,21.25,住,,,1080513,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,77.0,3,2,1,有,無,8880000,115325,,0.0,0,含增建或未登記建物。;,RPPOMLNJPHOFFDA97CA
信義區,土地,吳興段二小段31~60地號,2.17,住,,,1080611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,391705,,0.0,0,,RPROMLSJPHOFFDA68CA
南港區,房地(土地+建物)+車位,臺北市南港區玉成街166巷22弄1~30號,49.97,住,,,1080607,土地1建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0840323,254.8,4,3,1,有,有,37080000,145526,坡道平面,0.0,0,含增建或未登記建物。;,RPUOMLSJPHOFFDA98CA
松山區,房地(土地+建物),臺北市松山區民生東路五段36巷4弄1~30號,7.94,其他,,,1080623,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0670602,21.09,0,0,0,無,無,6500000,308203,,0.0,0,,RPQOMLTJPHOFFDA68CA
