鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
楊梅區,土地,甡甡段219991~220020地號,3578.94,農,,,1080517,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30500000,8522,,0.0,0,土地上有未保存農舍建物一棟持分1/2併同出售,RPUNMLOJPHOFFDH56CA
楊梅區,房地(土地+建物),桃園市楊梅區楊新北路21巷1弄1~30號,87.0,住,,,1080522,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0700704,168.78,5,2,3,有,無,7650000,45325,,0.0,0,,RPPOMLOJPHOFFDH78CA
楊梅區,房地(土地+建物),桃園市楊梅區萬大路115巷1~30號,17.48,住,,,1080607,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830325,92.33,3,2,2,有,有,3300000,35741,,0.0,0,,RPROMLNJPHOFFDH88CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區高鵬二街1~30號,37.08,,鄉村區,乙種建築用地,1080522,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930202,140.39,3,2,2,有,有,4280000,30487,坡道平面,36.09,0,,RPQNMLOJPHOFFDH78CA
大溪區,房地(土地+建物),桃園市大溪區僑愛一街72巷13弄1~30號,38.73,住,,,1080605,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0910322,175.49,2,1,2,有,有,6660000,37951,,0.0,0,,RPPPMLTLPHOFFCH86CA
龍潭區,房地(土地+建物),桃園市龍潭區湧光路577巷3弄1~30號,68.77,,鄉村區,乙種建築用地,1080527,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0731231,95.98,4,2,2,有,無,3850000,40113,,0.0,0,,RPTOMLTLPHOFFCH17CA
大溪區,房地(土地+建物),桃園市大溪區慈光街79巷31弄1~30號,74.07,其他,,,1080601,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960823,222.58,4,2,3,有,無,8800000,39536,,0.0,0,,RPSOMLLMPHOFFCH98CA
龍潭區,土地,中原段4269991~4270020地號,3374.77,,山坡地保育區,農牧用地,1080523,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31200000,9245,,0.0,0,,RPUOMLLMPHOFFCH56CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區瑞坪路276巷1~30號,29.79,住,,,1080421,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071130,142.8,2,2,2,有,有,6260000,46628,坡道平面,33.21,1150000,,RPUQMLKKPHOFFDH56CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區瑞坪路276巷31~60號,29.06,住,,,1080122,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071130,140.0,2,2,2,有,有,6340000,48600,坡道平面,33.21,1150000,,RPVQMLKKPHOFFDH66CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區瑞坪路276巷31~60號,35.05,住,,,1070509,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071130,162.07,3,2,2,有,有,6500000,41518,坡道平面,33.21,1150000,,RPWQMLKKPHOFFDH76CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區瑞坪路276巷61~90號,44.07,住,,,1071008,土地1建物1車位2,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071130,228.51999999999998,4,2,2,有,有,9150000,42258,坡道平面,66.42,2300000,,RPPRMLKKPHOFFDH78CA
