鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
北屯區,房地(土地+建物),臺中市北屯區后庄七街243巷1~30號,70.0,住,,,1080530,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0941213,188.43,5,2,4,有,無,14250000,75625,,0.0,0,,RPOSMLPKPHOFFBB48CA
北區,房地(土地+建物),臺中市北區榮華街61~90號,13.52,住,,,1080601,土地2建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830131,83.67999999999999,2,2,1,有,無,3950000,47204,,0.0,0,,RPVOMLTJPHOFFBB09CA
北區,房地(土地+建物)+車位,臺中市北區北平四街1~30號,8.5,商,,,1050122,土地1建物1車位1,九層,十五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1071130,89.55,1,0,1,有,有,7840000,107697,坡道平面,28.36,1250000,,RPQOMLTJPHOFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段151~180號,5.48,商,,,1080524,土地1建物1車位1,六層,十七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0990909,75.41,1,1,1,有,有,5400000,71609,坡道機械,14.96,0,,RPPRMLTJPHOFFBB78CA
北區,房地(土地+建物),臺中市北區忠明七街1~30號,14.88,住,,,1080415,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1011220,72.96,2,2,2,有,有,5830000,79907,,0.0,0,,RPQPMLLKPHOFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區遼寧路一段1~30號,17.85,住,,,1080602,土地2建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850618,122.19,3,2,2,有,有,6850000,56060,坡道平面,0.0,0,,RPWQMLSJPHOFFBB66CA
北區,房地(土地+建物)+車位,臺中市北區華美街二段61~90號,16.82,商,,,1080610,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030805,194.73000000000002,3,2,2,有,有,16600000,92191,坡道平面,28.76,1300000,,RPTNMLRJPHOFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十二路181~210號,20.63,住,,,1080614,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060612,153.89999999999998,3,2,2,有,有,7550000,49058,坡道平面,26.44,0,,RPSNMLQJPHOFFBB38CA
北區,房地(土地+建物),臺中市北區美德街347巷1~30號,21.61,住,,,1080520,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680327,65.41,3,1,1,有,無,4000000,61153,,0.0,0,,RPXNMLQJPHOFFBB88CA
北區,房地(土地+建物)+車位,臺中市北區興進路241~270號,8.2,商,,,1080424,土地2建物1車位1,二十二層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050717,162.05,3,2,2,有,有,12050000,75104,升降機械,10.26,650000,,RPQNMLRJPHOFFBB28CA
